mm/dd, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
19-Aug,35,26,23,89,50,16,6,13,33
20-Aug,13,7,51,55,17,29,5,8,16
21-Aug,8,13,73,26,2,26,17,-24,12
22-Aug,55,19,20,15,16,16,13,-40,7
23-Aug,71,29,28,40,22,-22,34,-10,-2
24-Aug,25,16,27,11,13,-1,12,17,10
25-Aug,20,2,25,0,19,-10,1,22,39
26-Aug,29,13,32,3,20,-76,-30,23,44
27-Aug,17,29,42,-2,24,-21,-42,24,11
28-Aug,19,11,-21,-29,10,-44,-10,23,43
29-Aug,18,2,-19,-126,-3,-110,-5,29,-6
30-Aug,16,10,-35,-67,8,-22,17,36,0
31-Aug,18,19,-17,-46,-2,1,24,17,-28
1-Sep,26,10,-22,-13,6,-2,5,11,2
2-Sep,28,16,13,1,58,-9,10,19,-6
3-Sep,31,26,15,2,26,-6,54,-3,39
4-Sep,19,3,15,18,24,3,33,4,58
5-Sep,13,0,-14,1,7,45,43,1,11
6-Sep,7,1,14,2,-3,11,1,2,-9
7-Sep,-27,27,-1,-7,27,7,-9,12,15
8-Sep,-52,18,18,-2,43,20,-6,29,8
9-Sep,-94,-10,0,5,16,28,-7,48,3
10-Sep,-29,-10,44,31,2,11,22,32,0
11-Sep,-6,9,32,44,-18,-13,19,6,-30
12-Sep,1,78,13,78,6,6,7,0,-6
13-Sep,1,19,7,83,1,12,3,19,0
14-Sep,-13,15,14,17,-2,13,35,15,-7
15-Sep,-22,5,8,-27,-2,15,43,18,-31
16-Sep,4,-13,-7,-37,-2,8,17,-12,-2
17-Sep,8,-56,-6,-12,-3,19,10,-81,-13
18-Sep,2,-28,-13,-46,-3,-23,5,-11,-28
19-Sep,6,6,-9,-38,2,-152,7,-3,-17
20-Sep,-40,19,13,31,-7,-15,13,-70,4
21-Sep,-70,6,24,15,-18,-14,10,-75,-2
22-Sep,19,8,-38,-10,-19,-99,2,-131,-23
23-Sep,18,3,-35,-66,-173,-14,13,-66,-90
24-Sep,17,2,-37,-35,-224,2,59,-110,-307
25-Sep,19,-16,-26,12,-111,37,25,-95,-158
26-Sep,25,2,20,23,-21,2,11,-421,-34
27-Sep,24,-17,66,15,1,-30,1,-25,-80
28-Sep,-8,-14,33,6,3,-195,24,-30,25
29-Sep,-52,8,11,-1,23,-237,30,-59,26
30-Sep,-91,19,1,2,27,-71,6,43,-13
1-Oct,-6,47,-31,29,8,-38,69,8,-4
2-Oct,27,14,-6,63,-23,-1,96,-148,20
3-Oct,-13,-1,-83,9,-26,-4,5,-215,10
4-Oct,-6,2,-85,-9,0,-37,4,-173,41
5-Oct,-84,7,19,-9,3,-17,-21,4,2
6-Oct,8,18,-200,-18,24,-64,-13,15,-2
7-Oct,-14,38,-13,-77,23,30,1,9,-48
8-Oct,22,8,-19,-114,1,57,1,-59,-304
9-Oct,37,1,12,-283,-6,4,7,-11,-248
10-Oct,7,27,1,-65,-21,24,18,-135,13
11-Oct,1,11,-43,-82,13,2,-6,-60,-52
12-Oct,41,17,-237,-14,-84,8,-48,-10,-25
13-Oct,3,15,-245,6,-127,10,-106,0,-23
14-Oct,-21,-14,-252,-9,-57,8,-124,11,19
15-Oct,-20,-7,-163,-84,-36,11,-93,15,6
