
DOY, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
109, 0.000, -145.000, -10.000, 34.000, -96.000, 61.000, -19.000, 4.000, -22.000
110, -49.000, -10.000, 7.000, 35.000, -83.000, 44.000, -96.000, 28.000, 149.000
111, 14.000, -64.000, 8.000, 107.000, 16.000, 21.000, 4.000, 35.000, 146.000
112, 11.000, -84.000, -13.000, 11.000, -35.000, 20.000, -3.000, 5.000, 82.000
113, -6.000, -28.000, -2.000, -29.000, -85.000, 32.000, 6.000, -13.000, -14.000
114, 13.000, 8.000, 15.000, -1.000, -46.000, 34.000, 51.000, -21.000, -1.000
115, 7.000, -51.000, 56.000, -7.000, 3.000, 34.000, -41.000, 0.000, -45.000
116, -5.000, 36.000, 20.000, -77.000, -70.000, 10.000, -119.000, -5.000, -228.000
117, 6.000, 39.000, -21.000, -87.000, -10.000, 3.000, -1.000, -80.000, -6.000
118, 16.000, 15.000, 14.000, 2.000, -44.000, 25.000, -73.000, 6.000, 48.000
119, 40.000, -37.000, 15.000, -7.000, -63.000, 96.000, -13.000, 44.000, 111.000
120, 42.000, 33.000, 68.000, -8.000, -51.000, 34.000, -5.000, 19.000, 31.000
121, 30.000, -23.000, 16.000, 55.000, -37.000, 6.000, 25.000, -4.000, 111.000
122, 17.000, -77.000, -6.000, 46.000, 3.000, 39.000, 5.000, 13.000, -2.000
123, 8.000, -10.000, 4.000, 17.000, -59.000, 60.000, -14.000, 22.000, 270.000
124, -2.000, 1.000, 52.000, -20.000, -9.000, 24.000, 38.000, -1.000, 26.000
125, 14.000, 58.000, 72.000, 2.000, 16.000, 7.000, 27.000, 2.000, 50.000
126, 12.000, 27.000, 51.000, 23.000, 21.000, 13.000, -3.000, -31.000, 16.000
127, 4.000, 9.000, 60.000, 26.000, -3.000, 9.000, -2.000, 0.000, 14.000
128, -16.000, 7.000, 135.000, 10.000, -40.000, 14.000, -2.000, 31.000, 19.000
129, -26.000, 12.000, 132.000, 20.000, 2.000, 38.000, 73.000, 23.000, 13.000
130, 43.000, -4.000, 28.000, 48.000, 13.000, 9.000, 53.000, -11.000, 62.000
131, 52.000, -22.000, 17.000, 44.000, 1.000, -29.000, 18.000, -2.000, 61.000
132, 46.000, -12.000, 29.000, 24.000, -13.000, -31.000, 19.000, -78.000, 24.000
133, 11.000, 16.000, 6.000, 11.000, 2.000, -20.000, 15.000, 6.000, 39.000
134, 7.000, 8.000, -2.000, 23.000, 18.000, -25.000, 48.000, 31.000, 44.000
135, 20.000, -18.000, 8.000, 43.000, -15.000, -18.000, 41.000, 7.000, 32.000
136, 31.000, 62.000, 34.000, 30.000, -2.000, -1.000, 89.000, 3.000, 10.000
137, 20.000, 8.000, 29.000, 9.000, -1.000, -13.000, 98.000, 21.000, 1.000
138, 14.000, -6.000, 13.000, 20.000, 4.000, 15.000, 81.000, 30.000, -57.000
139, 13.000, 11.000, 71.000, 38.000, 21.000, 50.000, 14.000, 15.000, -262.000
140, 16.000, 18.000, 41.000, 45.000, 36.000, 40.000, -2.000, 22.000, -109.000
141, 9.000, 26.000, 16.000, 49.000, 9.000, 65.000, -68.000, 28.000, 19.000
142, 20.000, 32.000, 10.000, 40.000, -3.000, 7.000, -57.000, 7.000, 40.000
143, 55.000, 133.000, 3.000, 38.000, 15.000, -2.000, -21.000, 15.000, -13.000
144, 44.000, 77.000, 13.000, 36.000, 7.000, 3.000, 4.000, -10.000, -85.000
145, 37.000, 28.000, 30.000, 26.000, -9.000, -5.000, 29.000, -8.000, -40.000
146, 10.000, 25.000, 50.000, 27.000, 1.000, -23.000, 31.000, -47.000, 1.000
147, 12.000, 5.000, 52.000, 25.000, 15.000, -87.000, 20.000, -8.000, 51.000
148, 62.000, 17.000, 21.000, 30.000, 45.000, -33.000, 5.000, 37.000, 50.000
149, 60.000, 38.000, -17.000, 45.000, 14.000, 9.000, 15.000, 25.000, 6.000
150, 27.000, -5.000, 21.000, 28.000, 46.000, -12.000, -8.000, 1.000, -34.000
151, 19.000, -30.000, 11.000, 18.000, 57.000, -1.000, -44.000, 4.000, -3.000
152, -31.000, -32.000, 9.000, 14.000, 41.000, 54.000, -20.000, 8.000, -109.000
153, 8.000, -15.000, 1.000, 11.000, 75.000, 40.000, -8.000, -3.000, -34.000
